Number,Street Address,City,State,Zip Code
1,14500 North Oracle Road,Tucson,AZ,85739
2,2800 West Pinnacle Peak Road,Phoenix,AZ,85027
3,47297 West Farrell Road,Maricopa,AZ,85139
4,70 West 3rd Street South,Saint Johns,AZ,85936
5,50 West Cleveland Street,Saint Johns,AZ,85936
6, Unnamed Road,Douglas,AZ,85607
7, ,Florence,AZ,85132
8,1000 Fairgrounds Road,Globe,AZ,85501
9,24890 South Picacho Highway,Eloy,AZ,85131
10,915 East Diversion Dam Road,Florence,AZ,85132
11, Unnamed Road,Buckeye,AZ,85326
12,2105 North Citrus Road,Goodyear,AZ,85395
13,374 Az State Asylum,Phoenix,AZ,85008
14, ,Phoenix,AZ,85008
15, Cypress Lane,Safford,AZ,85546
16, Fort Grant B,Willcox,AZ,85643
17,10000 South Wilmot Road,Tucson,AZ,85756
18,2100 Arizona 87,Winslow,AZ,86047
19,38322 U.S. 180,Saint Johns,AZ,85936
20,7125 Juan Sanchez Boulevard,Somerton,AZ,85350
21,4626 West English Drive,Golden Valley,AZ,86413
22,3402 West Cocopah Street,Phoenix,AZ,85009
23,24601 North 29th Avenue,Phoenix,AZ,85027
24,1401 East Diversion Dam Road,Florence,AZ,85132
25,1155 North Pinal Parkway Avenue,Florence,AZ,85132
26,203 North Judd Drive,Bisbee,AZ,85603
27,5550 Arizona 90,Sierra Vista,AZ,85635
28,911 East Sawmill Road,Flagstaff,AZ,86001
29,1001 East Sawmill Road,Flagstaff,AZ,86001
30,14038 2nd Avenue,Parker,AZ,85344
31,8870 Mary's Drive,Flagstaff,AZ,86004
32,3443 South Richey Boulevard,Tucson,AZ,85713
33,919 West Thatcher Boulevard,Safford,AZ,85546
34,1705 East Hanna Road,Eloy,AZ,85131
35, North Eyman Boulevard,Florence,AZ,85132
36,37900 North 45th Avenue,Phoenix,AZ,85086
37, Arizona 366,Safford,AZ,85546
38,8901 South Wilmot Road,Tucson,AZ,85756
39,19432 East Diversion Dam Road,Florence,AZ,85132
40,855 Arizona 79,Florence,AZ,85132
41,3250 North Pinal Parkway Avenue,Florence,AZ,85132
42,10755 North Fort McDowell Road,Fort McDowell,AZ,85264
43,8490 Arizona 95,Mohave Valley,AZ,86440
44,1100 East South Street,Globe,AZ,85501
45,1425 East South Street,Globe,AZ,85501
46,749 West Seed Farm Road,Sacaton,AZ,85147
47,523 South 10th Avenue,Safford,AZ,85546
48,800 Coronado Boulevard,Clifton,AZ,85533
49, ,First Mesa,AZ,86042
50,108 High View Drive,Peach Springs,AZ,86434
51,11590 West Silverbell Road,Marana,AZ,85653
52,3324 West Gibson Lane,Phoenix,AZ,85009
53,3131 West Durango Street,Phoenix,AZ,85009
54,2939 West Durango Street,Phoenix,AZ,85009
55,201 South 4th Avenue,Phoenix,AZ,85003
56,3445 West Durango Street,Phoenix,AZ,85009
57,3250 West Lower Buckeye Road,Phoenix,AZ,85009
58,225 West Madison Street,Phoenix,AZ,85003
59,3127 West Gibson Lane,Phoenix,AZ,85009
60,3127 West Gibson Lane,Phoenix,AZ,85009
61,3127 West Gibson Lane,Phoenix,AZ,85009
62,501 West Highway 66,Kingman,AZ,86401
63,300 West Andy Devine Avenue,Kingman,AZ,86401
64,3500 Arizona 95,Lake Havasu City,AZ,86404
65,100 Arizona 77,Holbrook,AZ,86025
66,1533 Main Street,Tuba City,AZ,86045
67, Main Street,Chinle,AZ,86503
68, ,Kayenta,AZ,86033
69,5299 Window Rock Boulevard,Window Rock,AZ,86515
70,2931 North Stone Avenue,Tucson,AZ,85705
71,2445 North Oracle Road,Tucson,AZ,85705
72,3235 North Stone Avenue,Tucson,AZ,85705
73,2846 East Roosevelt Street,Phoenix,AZ,85008
74,1270 West Silverlake Road,Tucson,AZ,85713
75,1249 North Well Road,Ajo,AZ,85321
76,2225 East Ajo Way,Tucson,AZ,85713
77,1801 South Mission Road,Tucson,AZ,85713
78,971 North Pinal Parkway Avenue,Florence,AZ,85132
79,1410 East Diversion Dam Road,Florence,AZ,85132
80,1750 East Arica Road,Eloy,AZ,85131
81,2420 East Roosevelt Street,Phoenix,AZ,85008
82,1250 East Arica Road,Eloy,AZ,85131
83,3213 North Longmore Road,Scottsdale,AZ,85256
84, Arizona 170,San Carlos,AZ,85550
85,406 N Avenue D,San Luis,AZ,85349
86,2160 North Congress Drive,Nogales,AZ,85621
87,1840 South Lewis,Mesa,AZ,85210
88,1275 West Starr Pass Boulevard,Tucson,AZ,85713
89, Main Road,Sells,AZ,85634
90,947 Rodeo Way,Peach Springs,AZ,86434
91,6420 South Park Avenue,Tucson,AZ,85706
92,9300 South Wilmot Road,Tucson,AZ,85756
93,5 East Sycamore Street,Whiteriver,AZ,85941
94,255 East Gurley Street,Prescott,AZ,86301
95,2830 Commonwealth Drive,Camp Verde,AZ,86322
96,960 Division Street,Prescott,AZ,86301
97,145 South 2nd Avenue,Yuma,AZ,85364
98,2440 West 28th Street,Yuma,AZ,85364
99,5501 North La Palma Road,Eloy,AZ,85131
100,1109 West Arizona Avenue,Parker,AZ,85344
