,MTFCC,OID,LNDMRKNS,BASENAME,NAME,LSADC,FUNCSTAT,AREALAND,AREAWATER,CENTLAT,CENTLON,INTPTLAT,INTPTLON,Street Address,City,State,Zip Code
0,K1237,1104476287182,,2nd 25th Judicial District Intermediate Sanction,2nd 25th Judicial District Intermediate Sanction Faclty,,,28629,,29.5423019,-97.4598829,29.5423019,-97.4598829,4024 Farm to Market Road 794,Gonzales,TX,78629
1,K1235,1104486800732,,3-B,3-B Detention Ctr,,,7613,,43.5156594,-112.0146257,43.5156594,-112.0146257,950 Environmental Way,Idaho Falls,ID,83401
2,K1235,1104492849218,,30th Circuit Youth Services,30th Circuit Youth Services,,,6132,,37.6107726,-93.4117938,37.6107726,-93.4117938,211 West Walnut Street,Bolivar,MO,65613
3,K1238,1104483205318,,38th Judicial District Community Corrections,38th Judicial District Community Corrections Faclty,,,12671,,29.2323876,-99.7924262,29.2323876,-99.7924262,401 East Front Street,Uvalde,TX,78801
4,K1236,1104485342733,,77th Street Regional,77th Street Regional Jail,,,16408,,33.9703222,-118.2774672,33.9703222,-118.2774672,7600 South Broadway,Los Angeles,CA,90003
5,K1235,1104746061352,,Aaron Cohn Regional Youth,Aaron Cohn Regional Youth Detention Ctr,,,104523,,32.5263474,-84.852994,32.5263474,-84.852994,7700 Chattsworth Road,Columbus,GA,31820
6,K1236,1104691890039,,Abbeville County,Abbeville County Detention Ctr,,,19632,,34.166117,-82.4103343,34.166117,-82.4103343,21 Old Calhoun Falls Road,Abbeville,SC,29620
7,K1236,1104475156642,,Aberdeen City,Aberdeen City Jail,,,4350,,46.9762721,-123.8170773,46.9762721,-123.8170773,200 East Market Street,Aberdeen,WA,98520
8,K1238,1104701339962,,Abraham,Abraham Hse,,,568,,40.8113341,-73.9210315,40.8113341,-73.9210315,344 Willis Avenue,The Bronx,NY,10454
9,K1235,1104487278801,,Abraxas,Abraxas Acdmy,,,205947,,40.1909193,-75.91702,40.1909193,-75.91702,1000 Academy Drive,Morgantown,PA,19543
10,K1238,1104692449839,,Abraxas,Abraxas Hse,,,3658,,38.1584003,-79.0624091,38.1584003,-79.0624091,603 North Coalter Street,Staunton,VA,24401
11,K1236,1104474972122,,Acadia Parish,Acadia Parish Detention Ctr,,,22813,,30.2071966,-92.3986043,30.2071966,-92.3986043,1061 Capitol Avenue,Crowley,LA,70526
12,K1236,1104476312206,,Acadia Parish,Acadia Parish Jail,,,1471,,30.214836,-92.373521,30.214836,-92.373521,500 Northeast Court Circle,Crowley,LA,70526
13,K1235,1104486527629,,Acatalina Mountain,Acatalina Mountain Schl,,,414298,,32.470617,-110.9214992,32.470617,-110.9214992,14500 North Oracle Road,Tucson,AZ,85739
14,K1236,1104499467075,,Accomack County,Accomack County Jail,,,8162,,37.7202894,-75.6706231,37.7202894,-75.6706231,23318 Wise Court,Accomac,VA,23301
15,K1236,1104485970326,,Acoma Tribal Police Department and Holding,Acoma Tribal Police Department and Holding Faclty,,,80395,,35.0417239,-107.616916,35.0417239,-107.616916,45 Indian Service Route 32,Acoma Pueblo,NM,87034
16,K1237,1104474112559,,Acton Conservation,Acton Conservation Cp,,,36626,,34.4376258,-118.2874337,34.4376258,-118.2874337,8800 Soledad Canyon Road,Acton,CA,93510
17,K1235,1104483739816,,Acts Youth Services,Acts Youth Services,,,3940,,28.0285627,-82.4573763,28.0285627,-82.4573763,8620 North Dixon Avenue,Tampa,FL,33604
18,K1236,1104692585761,,Acworth,Acworth Detention Ctr,,,14624,,34.0602232,-84.660331,34.0602232,-84.660331,4400 Acworth Industrial Drive Northwest,Acworth,GA,30101
19,K1236,1104699687732,,Ada City,Ada City Jail,,,2653,,34.7725981,-96.6810714,34.7725981,-96.6810714,210 West 13th Street,Ada,OK,74820
20,K1236,1104486793542,,Ada County,Ada County Jail,,,89605,,43.60782,-116.2709216,43.60782,-116.2709216,7200 Barrister Drive,Boise,ID,83704
21,K1235,1104486785960,,Ada County Juvenile,Ada County Juvenile Detention Ctr,,,19373,,43.6105484,-116.2599018,43.6105484,-116.2599018,6300 West Denton Street,Boise,ID,83704
22,K1236,1104692857685,,Adair County,Adair County Jail,,,11220,,35.8076622,-94.6247093,35.8076622,-94.6247093,320 East Locust Street,Stilwell,OK,74960
23,K1236,1104493424726,,Adair County Regional,Adair County Regional Jail,,,2674,,37.1037992,-85.3065769,37.1037992,-85.3065769,204 Greensburg Street,Columbia,KY,42728
24,K1236,1104492532536,,Adair County Sheriff's,Adair County Sheriff's Ofc,,,2891,,40.1961923,-92.583542,40.1961923,-92.583542,215 North Franklin Street,Kirksville,MO,63501
25,K1236,1104486597514,,Adair County Sheriff's,Adair County Sheriff's Ofc,,,3936,,41.3048791,-94.4574305,41.3048791,-94.4574305,306 East Iowa Street,Greenfield,IA,50849
26,K1236,1104493424921,,Adair Restricted Custody,Adair Restricted Custody Ctr,,,7943,,37.1174518,-85.3001132,37.1174518,-85.3001132,34 Service Road,Columbia,KY,42728
27,K1235,1104493425208,,Adair Youth Development,Adair Youth Development Ctr,,,46777,,37.0848983,-85.3047396,37.0848983,-85.3047396,401 Appleby Drive,Columbia,KY,42728
28,K1237,1104690697275,,Adams County Correctional,Adams County Correctional Ctr,,,288571,,31.5568189,-91.2215557,31.5568189,-91.2215557, Unnamed Road,,MS,39120
29,K1236,1104692282625,,Adams County,Adams County Courthouse,,,9362,,40.5874574,-98.3881047,40.5874574,-98.3881047,500 West 4th Street,Hastings,NE,68901
30,K1236,1104474641349,,Adams County,Adams County Courthouse,,,13993,,43.9712829,-89.8154974,43.9712829,-89.8154974,402 Main Street,Friendship,WI,53934
31,K1236,1104493256660,,Adams County Detention,Adams County Detention Faclty,,,94950,,39.9908165,-104.7975835,39.9908165,-104.7975835,150 North 19th Avenue,Brighton,CO,80601
32,K1236,1104692055771,,Adams County,Adams County Jail,,,103722,,39.8584451,-77.157768,39.8584451,-77.157768,43 Major Bell Lane,Gettysburg,PA,17325
33,K1236,1104493890924,,Adams County,Adams County Jail,,,7809,,38.7953191,-83.5460856,38.7953191,-83.5460856,110 West Main Street,West Union,OH,45693
34,K1236,1104485868010,,Adams County,Adams County Jail,,,18354,,39.9350908,-91.4075513,39.9350908,-91.4075513,507 Vermont Street,Quincy,IL,62301
35,K1236,1104475139554,,Adams County,Adams County Jail,,,9877,,47.1273668,-118.382623,47.1273668,-118.382623,210 West Broadway Avenue,Ritzville,WA,99169
36,K1236,1104474305285,,Adams County,Adams County Jail,,,8538,,46.0015197,-102.6346305,46.0015197,-102.6346305,604 Adams Avenue,Hettinger,ND,58639
37,K1235,1104690697383,,Adams County Juvenile,Adams County Juvenile Detention Ctr,,,2863,,31.5590116,-91.404613,31.5590116,-91.404613,320 State Street,Natchez,MS,39120
38,K1235,1104475187556,,Adams County Juvenile Detention,Adams County Juvenile Detention Faclty,,,16146,,39.9320555,-91.3332126,39.9320555,-91.3332126,200 North 52nd Street,Quincy,IL,62305
39,K1236,1104690697441,,Adams County Sheriff's,Adams County Sheriff's Dept,,,2363,,31.5595866,-91.4052101,31.5595866,-91.4052101,314 State Street,Natchez,MS,39120
40,K1236,1104486793718,,Adams County Sheriff's,Adams County Sheriff's Ofc,,,17591,,44.7373146,-116.433994,44.7373146,-116.433994,201 Industrial Avenue,Council,ID,83612
41,K1236,1104488302882,,Adams County Sheriff's,Adams County Sheriff's Ofc,,,8463,,40.8275532,-84.9211466,40.8275532,-84.9211466,313 South 1st Street,Decatur,IN,46733
42,K1236,1104486597931,,Adams County Sheriff's,Adams County Sheriff's Ofc,,,4053,,40.9912067,-94.7347641,40.9912067,-94.7347641,500 9th Street,Corning,IA,50841
43,K1235,1104493256799,,Adams Youth Services,Adams Youth Services Ctr,,,36237,,39.9888258,-104.7978086,39.9888258,-104.7978086,200 North 19th Avenue,Brighton,CO,80601
44,K1236,1104485347580,,Adamsville,Adamsville Police Dept,,,2546,,33.6009065,-86.9545433,33.6009065,-86.9545433,4901 Main Street,Adamsville,AL,35005
45,K1236,1104484097448,,Adelanto,Adelanto Corr Faclty,,,38760,,34.5593879,-117.4389012,34.5593879,-117.4389012,10450 Rancho Road,Adelanto,CA,92301
46,K1236,1104474259495,,Adelanto,Adelanto Detention Ctr,,,40448,,34.5474689,-117.4574313,34.5474689,-117.4574313,9438 Commerce Way,Adelanto,CA,92301
47,K1237,1104702273668,,Adirondack,Adirondack Corr Faclty,,,180291,,44.2960935,-74.090712,44.2960935,-74.090712, Adirondack Park Preserve,Saranac Lake,NY,12983
48,K1235,1104484269726,,Adobe Mountain,Adobe Mountain Schl,,,284023,,33.7029538,-112.1194647,33.7029538,-112.1194647,2800 West Pinnacle Peak Road,Phoenix,AZ,85027
49,K1235,1104484070186,,Adolescent Residential,Adolescent Residential Cmps,,,37446,,28.2622922,-81.523121,28.2622922,-81.523121,5990 Old Tampa Highway,Davenport,FL,33896
50,K1237,1104474450033,,Adult Diagnostic and Treatment,Adult Diagnostic and Treatment Ctr,,,63907,,40.5898858,-74.2733036,40.5898858,-74.2733036,8 Production Way,Woodbridge Township,NJ,07001
51,K1237,1104484122222,,Aguadilla Service Processing,Aguadilla Service Processing Ctr,,,11975,,18.4957978,-67.1436201,18.4957978,-67.1436201,146 Belt Road,Aguadilla Pueblo,Aguadilla,00603
52,K1237,1104475166559,,Ahtanum View Work Release,Ahtanum View Work Release,,,39220,,46.5683501,-120.5926112,46.5683501,-120.5926112,2009 South 64th Avenue,Yakima,WA,98903
53,K1236,1104691893908,,Aiken County,Aiken County Detention Ctr,,,67659,,33.5937248,-81.678965,33.5937248,-81.678965,435 Wire Road,Aiken,SC,29801
54,K1237,110488622459,,Airway Heights Corrections,Airway Heights Corrections Ctr,,,664416,,47.6536413,-117.5768349,47.6536413,-117.5768349,11919 Sprague Avenue,Airway Heights,WA,99001
55,K1236,1104701823672,,Aitkin County Sheriff's,Aitkin County Sheriff's Ofc,,,13022,,46.5328323,-93.7103492,46.5328323,-93.7103492,217 2nd Street Northwest,Aitkin,MN,56431
56,K1236,1104486582323,,Ak-Chin Tribal Police and,Ak-Chin Tribal Police and Detention Ctr,,,5076,,33.0295201,-112.0758437,33.0295201,-112.0758437,47297 West Farrell Road,Maricopa,AZ,85139
57,K1235,1104477640462,,Al Price State Juvenile,Al Price State Juvenile Corr Faclty,,,290730,,29.9896376,-94.0364414,29.9896376,-94.0364414, U.S. 69 Access Road,Beaumont,TX,77705
58,K1235,1104485017380,,Alabama Department of Youth Services Autauga,Alabama Department of Youth Services Autauga Cmps,,,80464,,32.5195116,-86.5333356,32.5195116,-86.5333356,1601 County Road 57,Prattville,AL,36067
59,K1235,1104486414053,,Alabama Department of Youth Services Mobile Group,Alabama Department of Youth Services Mobile Group Home,,,5464,,30.7071298,-88.096639,30.7071298,-88.096639,563 Stanton Road,Mobile,AL,36617
60,K1235,1104486370309,,Alabama Department of Youth Services Mount Meigs,Alabama Department of Youth Services Mount Meigs Cmps,,,3075052,202968.0,32.3826643,-86.0812663,32.3817742,-86.0802925, Unnamed Road,Montgomery,AL,36117
